irwinid,fire_name,agency,year_,alarm_date,cont_date,fire_duration,duration_bucket,c_method,objective,cause,gis_acres,centroid,lat,lon
{FB31F965-B88D-4C84-8B88-3241F38187CC},SHEEP,USF,2020.0,2020-08-17 07:00:00,2020-09-07 07:00:00,21.0,15–45 days (extended attack),7.0,1.0,1,29541.14,POINT (-120.72093548715699 40.32564676580159),40.32564676580159,-120.72093548715699
{4DE3802A-339C-4F3D-BD9A-61D55E9D2AA5},SLINK,USF,2020.0,2020-08-29 07:00:00,2020-11-13 08:00:00,76.0,46–95 days (long duration),7.0,1.0,14,26751.78,POINT (-119.56591851996231 38.52242717005557),38.52242717005557,-119.56591851996231
{E180DEC7-DA19-459B-9727-B2AE2C2BE0DE},GOLD,CDF,2020.0,2020-07-20 07:00:00,2020-10-29 07:00:00,101.0,95+ days (campaign fire),7.0,1.0,14,22652.56,POINT (-120.81619123955456 41.06386368393739),41.06386368393739,-120.81619123955456
,EL DORADO,USF,2020.0,2020-09-05 07:00:00,2020-11-16 08:00:00,72.0,46–95 days (long duration),2.0,1.0,14,22503.71,POINT (-116.95668499173907 34.09389608049227),34.09389608049227,-116.95668499173907
{54D7D11C-04DF-418A-9D22-9249FF56A4B8},MOUNTAIN VIEW,BLM,2020.0,2020-11-17 08:00:00,2020-11-30 08:00:00,13.0,6–14 days (short duration),2.0,1.0,14,20374.56,POINT (-119.4112354742114 38.55792747007831),38.55792747007831,-119.4112354742114
{A55E40C0-7692-40CD-95ED-113D7936B7F7},VALLEY,USF,2020.0,2020-09-05 07:00:00,2020-09-24 07:00:00,19.0,15–45 days (extended attack),3.0,1.0,14,16389.54,POINT (-116.68924831829091 32.736984287095844),32.736984287095844,-116.68924831829091
{B2E115D6-E687-4E3F-8309-0EAF6530522A},BLUE RIDGE,CDF,2020.0,2020-10-26 07:00:00,2020-11-02 08:00:00,7.0,6–14 days (short duration),7.0,1.0,14,13694.53,POINT (-117.70190240540427 33.91178372268728),33.91178372268728,-117.70190240540427
{BDE833A4-B278-4418-8526-67F2BFC7D7CD},SILVERADO,CDF,2020.0,2020-10-26 07:00:00,2020-11-02 08:00:00,7.0,6–14 days (short duration),7.0,1.0,14,12469.21,POINT (-117.70021625531898 33.718782113474205),33.718782113474205,-117.70021625531898
{A3E0E911-3411-46A6-8928-97727DB86BB9},BACCARAT,BLM,2020.0,2020-10-04 07:00:00,2020-10-11 07:00:00,7.0,6–14 days (short duration),2.0,1.0,14,10456.4,POINT (-119.95691531938546 39.77680349959128),39.77680349959128,-119.95691531938546
{795DCBB1-F228-4F7B-9C92-14999DC4B397},HOG,CDF,2020.0,2020-07-18 07:00:00,2020-08-28 07:00:00,41.0,15–45 days (extended attack),7.0,1.0,14,9566.36,POINT (-120.8050487693901 40.420325162672995),40.420325162672995,-120.8050487693901
{DE1057CC-F14B-4352-B80D-75C93219E9ED},NADEAU,BLM,2020.0,2020-07-29 07:00:00,2020-08-04 07:00:00,6.0,6–14 days (short duration),7.0,1.0,14,9150.402,POINT (-117.4632992568891 36.01361868763453),36.01361868763453,-117.4632992568891
{C99607D1-B1D4-4FE3-9B28-36C315AC4306},DEVIL,USF,2020.0,2020-09-09 07:00:00,,,,7.0,1.0,14,8871.938,POINT (-123.23394702437129 41.924537949448315),41.924537949448315,-123.23394702437129
{82728166-E47A-49A5-94F6-49B65894EECD},RATTLESNAKE,NPS,2020.0,2020-08-16 07:00:00,2020-12-28 08:00:00,134.0,95+ days (campaign fire),7.0,2.0,1,8422.869,POINT (-118.4151653579053 36.43011280562215),36.43011280562215,-118.4151653579053
,STAGECOACH,CCO,2020.0,2020-08-03 07:00:00,2020-08-03 07:00:00,0.0,,1.0,1.0,14,7750.637,POINT (-118.48489773065766 35.453485536662086),35.453485536662086,-118.48489773065766
{BBB4EB3D-47BC-4068-AF1F-CD5B45501813},CARMEL,CDF,2020.0,2020-08-18 07:00:00,2020-09-06 07:00:00,19.0,15–45 days (extended attack),7.0,1.0,10,6996.944,POINT (-121.65429373593014 36.41711639974712),36.41711639974712,-121.65429373593014
{9D6C7514-519B-44A6-BB26-9B61B2F176F2},BLUEJAY,NPS,2020.0,2020-07-25 07:00:00,2020-11-19 08:00:00,117.0,95+ days (campaign fire),7.0,2.0,1,6922.014,POINT (-119.61125380979519 37.84126775491339),37.84126775491339,-119.61125380979519
{CD8D2F6A-BA50-43CF-A62F-894091D839CC},NORTH,BLM,2020.0,2020-08-02 07:00:00,2020-08-10 07:00:00,8.0,6–14 days (short duration),7.0,1.0,10,6882.293,POINT (-119.99043541990223 39.849586114162136),39.849586114162136,-119.99043541990223
{F7749F47-7C98-4CEC-A5DE-70DB9A9BE33F},BOND,CDF,2020.0,2020-12-03 08:00:00,2020-12-07 08:00:00,4.0,0–5 days (initial attack),7.0,1.0,14,6681.099,POINT (-117.66271011679343 33.73977218304259),33.73977218304259,-117.66271011679343
{FFCB89F5-98FB-4C3A-9554-3D1554181A63},SNOW,CDF,2020.0,2020-09-17 07:00:00,2020-09-24 07:00:00,7.0,6–14 days (short duration),2.0,1.0,10,6253.439,POINT (-116.67956086551116 33.873624374666974),33.873624374666974,-116.67956086551116
{5D075A6A-350E-497F-B977-A6DCF275B2EC},CREWS,CDF,2020.0,2020-07-05 07:00:00,2020-07-15 07:00:00,10.0,6–14 days (short duration),2.0,1.0,8,5513.191,POINT (-121.45379904540285 37.01669940626616),37.01669940626616,-121.45379904540285
{A2E9EF53-43C2-4BBE-9CEF-DDF85A481D7A},GRANT,CDF,2020.0,2020-06-12 07:00:00,2020-06-12 07:00:00,0.0,,1.0,1.0,2,5062.198,POINT (-121.15449651445046 38.567138692405806),38.567138692405806,-121.15449651445046
{D8BCD0D3-AC7A-40AD-8A14-C34E29BD4126},WOODWARD,NPS,2020.0,2020-08-18 07:00:00,2020-11-20 08:00:00,94.0,46–95 days (long duration),7.0,1.0,1,4901.727,POINT (-122.82107146389136 38.02345978174699),38.02345978174699,-122.82107146389136
{D3F5D9A5-75C8-4650-87CD-9C3E1051802D},RANCH2,USF,2020.0,2020-08-13 07:00:00,2020-10-01 07:00:00,49.0,46–95 days (long duration),7.0,1.0,14,4119.205,POINT (-117.90774457254842 34.1970077383177),34.1970077383177,-117.90774457254842
{61092DF2-2505-4B5D-8CC5-D1896138C918},BEACH,USF,2020.0,2020-08-16 07:00:00,2020-08-27 07:00:00,11.0,6–14 days (short duration),7.0,1.0,1,3668.429,POINT (-118.98713846610127 37.93292988148022),37.93292988148022,-118.98713846610127
,CREEK 5,DOD,2020.0,2020-12-24 08:00:00,2020-12-31 08:00:00,7.0,6–14 days (short duration),8.0,1.0,14,3052.173,POINT (-117.28689648535152 33.38059311545675),33.38059311545675,-117.28689648535152
{A8DB6C0F-972D-4E13-B3FB-DF4F6E0B8C0A},BRANCH,CDF,2020.0,2020-07-28 07:00:00,2020-08-03 07:00:00,6.0,6–14 days (short duration),7.0,1.0,10,2922.204,POINT (-120.0238550649044 35.29495213708993),35.29495213708993,-120.0238550649044
{3DE641EE-702E-4EF7-B274-F1B5F12A0506},BENA,CCO,2020.0,2020-07-01 07:00:00,2020-07-05 07:00:00,4.0,0–5 days (initial attack),1.0,1.0,14,2884.41,POINT (-118.6488985904963 35.30640576190648),35.30640576190648,-118.6488985904963
{F4F886BF-83AE-426C-939B-879D997A9EC5},MOC,CDF,2020.0,2020-08-20 07:00:00,2020-09-05 07:00:00,16.0,15–45 days (extended attack),1.0,1.0,9,2857.605,POINT (-120.2727565751122 37.7871076358425),37.7871076358425,-120.2727565751122
{640FD5AB-A721-41FB-97AF-64D45210D561},LAURA 2,BLM,2020.0,2020-11-17 08:00:00,2020-11-23 08:00:00,6.0,6–14 days (short duration),7.0,1.0,14,2729.027,POINT (-120.08957670839021 40.06262740926608),40.06262740926608,-120.08957670839021
{F6DEE06F-4EC1-42BB-9135-6B0196015A42},MEYERS,CDF,2020.0,2020-08-17 07:00:00,2020-09-02 07:00:00,16.0,15–45 days (extended attack),7.0,1.0,1,2360.251,POINT (-123.20391061824942 38.50610599799769),38.50610599799769,-123.20391061824942
{6072A4CB-F525-4D19-87CC-6BDA2E4FCB1D},HOLSER,CCO,2020.0,2020-08-17 07:00:00,2020-08-22 07:00:00,5.0,0–5 days (initial attack),7.0,1.0,14,2188.634,POINT (-118.73244477162568 34.45759665776042),34.45759665776042,-118.73244477162568
{3572B770-DBB0-4997-8934-49FED0657B01},PASS,CDF,2020.0,2020-06-28 07:00:00,2020-07-01 07:00:00,3.0,0–5 days (initial attack),1.0,1.0,11,2163.698,POINT (-121.1632572939999 37.04617032532142),37.04617032532142,-121.1632572939999
{0F746982-4902-497B-82CD-CC5B16D97F3D},HILLS,CDF,2020.0,2020-08-15 07:00:00,2020-09-27 07:00:00,43.0,15–45 days (extended attack),2.0,1.0,1,2120.98,POINT (-120.30009975011674 35.977632940744286),35.977632940744286,-120.30009975011674
{DD23418F-7040-439F-8024-1441931BA3F0},WOLF,NPS,2020.0,2020-08-10 07:00:00,2020-11-19 08:00:00,101.0,95+ days (campaign fire),7.0,2.0,1,2057.296,POINT (-119.6230833498755 37.88099606002262),37.88099606002262,-119.6230833498755
{C0DD9C3E-2CC6-486F-BA0B-2384310B0DF0},FOX,USF,2020.0,2020-09-14 07:00:00,2020-09-28 07:00:00,14.0,6–14 days (short duration),3.0,1.0,4,2027.554,POINT (-122.85341337138858 41.23959684373755),41.23959684373755,-122.85341337138858
{0D9DCF27-F7DB-4ACB-A33D-099CE2617449},POND,CDF,2020.0,2020-08-01 07:00:00,2020-08-09 07:00:00,8.0,6–14 days (short duration),1.0,1.0,7,1962.329,POINT (-120.43304004348308 35.395694195660006),35.395694195660006,-120.43304004348308
{1FDE9A25-8AB5-4606-8F61-93EBFA5E7FF0},SANDERSON,CDF,2020.0,2020-12-13 08:00:00,2020-12-14 08:00:00,1.0,0–5 days (initial attack),7.0,1.0,4,1954.651,POINT (-117.0629424980127 33.90058092225146),33.90058092225146,-117.0629424980127
{7A0C1344-5E9F-4327-945A-0A93F913F4F9},QUAIL,CDF,2020.0,2020-06-06 07:00:00,2020-06-18 07:00:00,12.0,6–14 days (short duration),7.0,1.0,14,1841.0,POINT (-122.01735571333721 38.4742038844077),38.4742038844077,-122.01735571333721
{D1A5A79C-0354-4C70-83EA-9A0F37488850},FORK,USF,2020.0,2020-09-08 07:00:00,2020-11-08 08:00:00,61.0,46–95 days (long duration),7.0,1.0,14,1668.45,POINT (-120.42437354221887 38.98714016408593),38.98714016408593,-120.42437354221887
{F88FECB2-CA1C-4614-A278-B2E71BA65E0C},SODA,CDF,2020.0,2020-06-10 07:00:00,2020-06-10 07:00:00,0.0,,6.0,1.0,10,1653.114,POINT (-119.94903471874875 35.33060317748505),35.33060317748505,-119.94903471874875
{9E8E9A8D-BAC5-416B-9386-41F803BF52C3},SALT,CDF,2020.0,2020-08-18 07:00:00,2020-08-28 07:00:00,10.0,6–14 days (short duration),1.0,1.0,9,1593.732,POINT (-120.75226314788003 37.99905425605342),37.99905425605342,-120.75226314788003
{44797D81-7F12-447F-9D0E-B9AB3EBE8D6C},SOLEDAD,CCO,2020.0,2020-07-05 07:00:00,2020-07-07 07:00:00,2.0,0–5 days (initial attack),1.0,1.0,9,1525.536,POINT (-118.33629001027495 34.45474958096472),34.45474958096472,-118.33629001027495
{82C7D25A-86B8-419C-AFAB-EDB8E3C53708},COYOTE,CDF,2020.0,2020-07-15 07:00:00,2020-07-18 07:00:00,3.0,0–5 days (initial attack),1.0,1.0,14,1485.075,POINT (-120.99914505340628 36.67469501021316),36.67469501021316,-120.99914505340628
{F55DF3A6-DB93-4EEE-A3FC-7387C6E8F760},WALKER,CDF,2020.0,2020-06-16 07:00:00,2020-06-23 07:00:00,7.0,6–14 days (short duration),2.0,1.0,9,1398.004,POINT (-120.70624543292749 38.07054935312118),38.07054935312118,-120.70624543292749
{9F9E1BE4-BE1A-4A44-AE9B-D38B9F4364C2},DALTON ,USF,2020.0,2020-07-23 07:00:00,2020-08-15 07:00:00,23.0,15–45 days (extended attack),3.0,1.0,1,1367.078,POINT (-121.06030325307933 41.72498119026316),41.72498119026316,-121.06030325307933
{84EB3715-5649-43F0-BC29-B4767EB649A4},SCORPION,NPS,2020.0,2020-05-31 07:00:00,2020-06-05 07:00:00,5.0,0–5 days (initial attack),1.0,1.0,2,1320.728,POINT (-119.54204983754867 34.036295381741525),34.036295381741525,-119.54204983754867
{E2D7ECC4-10C8-433C-AD14-6A7AB77D2B75},MORAINE,NPS,2020.0,2020-08-21 07:00:00,2020-12-29 08:00:00,130.0,95+ days (campaign fire),2.0,1.0,1,1316.038,POINT (-118.55182762164816 36.72706969525841),36.72706969525841,-118.55182762164816
{1E4A0681-76DE-459B-B08A-EE73C0E6642B},WILLOWS,CDF,2020.0,2020-09-09 07:00:00,2020-10-13 07:00:00,34.0,15–45 days (extended attack),3.0,1.0,7,1309.09,POINT (-121.33249258341147 39.374915216493804),39.374915216493804,-121.33249258341147
